Time: 2026-03-21 16:15:01.531164, Current moisture: 12.0, Raw moisture: 46.876666666666665
Time: 2026-03-21 16:30:01.822999, Current moisture: 12.0, Raw moisture: 50.376666666666665
Time: 2026-03-21 16:45:02.090092, Current moisture: 12.0, Raw moisture: 48.54333333333334
Time: 2026-03-21 17:00:01.371863, Current moisture: 12.0, Raw moisture: 47.72666666666667
Time: 2026-03-21 17:15:01.725931, Current moisture: 12.0, Raw moisture: 46.17666666666667
Time: 2026-03-21 17:30:02.025573, Current moisture: 12.0, Raw moisture: 49.22666666666667
Time: 2026-03-21 17:45:01.294516, Current moisture: 12.0, Raw moisture: 54.99333333333333
Time: 2026-03-21 18:00:01.571503, Current moisture: 12.0, Raw moisture: 45.38
Time: 2026-03-21 18:15:01.922810, Current moisture: 12.0, Raw moisture: 52.45333333333333
Time: 2026-03-21 18:30:01.211105, Current moisture: 12.0, Raw moisture: 49.75333333333333
Time: 2026-03-21 18:45:01.480252, Current moisture: 12.0, Raw moisture: 53.68666666666667
Time: 2026-03-21 19:00:01.759662, Current moisture: 12.0, Raw moisture: 35.36666666666667
Time: 2026-03-21 19:15:02.117478, Current moisture: 12.0, Raw moisture: 49.61
Time: 2026-03-21 19:30:01.415084, Current moisture: 12.0, Raw moisture: 47.06
Time: 2026-03-21 19:45:01.693299, Current moisture: 12.0, Raw moisture: 47.096666666666664
Time: 2026-03-21 20:00:01.976762, Current moisture: 12.0, Raw moisture: 45.68333333333333
Time: 2026-03-21 20:15:01.334316, Current moisture: 12.0, Raw moisture: 54.373333333333335
Time: 2026-03-21 20:30:01.621665, Current moisture: 12.0, Raw moisture: 46.12
Time: 2026-03-21 20:45:01.884354, Current moisture: 12.0, Raw moisture: 55.25
Time: 2026-03-21 21:00:02.156735, Current moisture: 12.0, Raw moisture: 29.73
Time: 2026-03-21 21:15:01.517212, Current moisture: 12.0, Raw moisture: 47.36666666666667
Time: 2026-03-21 21:30:01.824205, Current moisture: 12.0, Raw moisture: 49.77333333333333
Time: 2026-03-21 21:45:02.100188, Current moisture: 12.0, Raw moisture: 48.54666666666667
Time: 2026-03-21 22:00:01.380677, Current moisture: 12.0, Raw moisture: 40.92333333333333
Time: 2026-03-21 22:15:01.731015, Current moisture: 12.0, Raw moisture: 60.64
Time: 2026-03-21 22:30:02.034380, Current moisture: 12.0, Raw moisture: 57.31
Time: 2026-03-21 22:45:01.300857, Current moisture: 12.0, Raw moisture: 48.4
Time: 2026-03-21 23:00:01.579067, Current moisture: 12.0, Raw moisture: 41.873333333333335
Time: 2026-03-21 23:15:01.931006, Current moisture: 12.0, Raw moisture: 55.31333333333333
Time: 2026-03-21 23:30:01.225622, Current moisture: 12.0, Raw moisture: 45.413333333333334
Time: 2026-03-21 23:45:01.495247, Current moisture: 12.0, Raw moisture: 54.61
Time: 2026-03-22 00:00:01.779615, Current moisture: 12.0, Raw moisture: 38.95
Time: 2026-03-22 00:15:02.145116, Current moisture: 12.0, Raw moisture: 57.93333333333333
Time: 2026-03-22 00:30:01.437789, Current moisture: 12.0, Raw moisture: 47.24333333333333
Time: 2026-03-22 00:45:01.705800, Current moisture: 12.0, Raw moisture: 45.44
Time: 2026-03-22 01:00:01.989243, Current moisture: 9.1, Raw moisture: 18.43
Time: 2026-03-22 01:15:01.354780, Current moisture: 12.0, Raw moisture: 48.50333333333333
Time: 2026-03-22 01:30:01.643665, Current moisture: 12.0, Raw moisture: 57.18333333333333
Time: 2026-03-22 01:45:01.911466, Current moisture: 12.0, Raw moisture: 55.47666666666667
Time: 2026-03-22 02:00:01.193898, Current moisture: 12.0, Raw moisture: 46.61
Time: 2026-03-22 02:15:01.549950, Current moisture: 12.0, Raw moisture: 56.373333333333335
Time: 2026-03-22 02:30:01.841778, Current moisture: 12.0, Raw moisture: 51.196666666666665
Time: 2026-03-22 02:45:02.109802, Current moisture: 12.0, Raw moisture: 43.46333333333333
Time: 2026-03-22 03:00:01.393339, Current moisture: 12.0, Raw moisture: 46.85333333333333
Time: 2026-03-22 03:15:01.758597, Current moisture: 12.0, Raw moisture: 43.54333333333334
Time: 2026-03-22 03:30:02.034979, Current moisture: 12.0, Raw moisture: 54.473333333333336
Time: 2026-03-22 03:45:01.302487, Current moisture: 12.0, Raw moisture: 49.276666666666664
Time: 2026-03-22 04:00:01.579768, Current moisture: 12.0, Raw moisture: 59.39333333333333
Time: 2026-03-22 04:15:01.924531, Current moisture: 12.0, Raw moisture: 49.75333333333333
Time: 2026-03-22 04:30:01.229364, Current moisture: 12.0, Raw moisture: 46.4
Time: 2026-03-22 04:45:01.484258, Current moisture: 12.0, Raw moisture: 54.94
Time: 2026-03-22 05:00:01.765154, Current moisture: 8.3, Raw moisture: 16.516666666666666
Time: 2026-03-22 05:15:02.121877, Current moisture: 12.0, Raw moisture: 50.5
Time: 2026-03-22 05:30:01.425936, Current moisture: 12.0, Raw moisture: 51.556666666666665
Time: 2026-03-22 05:45:01.699201, Current moisture: 12.0, Raw moisture: 53.31666666666667
Time: 2026-03-22 06:00:01.975931, Current moisture: 12.0, Raw moisture: 54.85
Time: 2026-03-22 06:15:01.335719, Current moisture: 12.0, Raw moisture: 49.38
Time: 2026-03-22 06:30:01.660330, Current moisture: 12.0, Raw moisture: 56.11666666666667
Time: 2026-03-22 06:45:01.920170, Current moisture: 12.0, Raw moisture: 53.233333333333334
Time: 2026-03-22 07:00:01.236067, Current moisture: 12.0, Raw moisture: 34.766666666666666
Time: 2026-03-22 07:15:01.591290, Current moisture: 12.0, Raw moisture: 59.13333333333333
Time: 2026-03-22 07:30:01.886081, Current moisture: 12.0, Raw moisture: 51.8
Time: 2026-03-22 07:45:02.157633, Current moisture: 12.0, Raw moisture: 46.68333333333333
Time: 2026-03-22 08:00:01.444422, Current moisture: 12.0, Raw moisture: 38.18333333333333
Time: 2026-03-22 08:15:01.796195, Current moisture: 12.0, Raw moisture: 48.47666666666667
Time: 2026-03-22 08:30:02.093299, Current moisture: 12.0, Raw moisture: 49.04666666666667
Time: 2026-03-22 08:45:01.367127, Current moisture: 12.0, Raw moisture: 54.906666666666666
Time: 2026-03-22 09:00:01.649565, Current moisture: 12.0, Raw moisture: 50.27333333333333
Time: 2026-03-22 09:15:02.000363, Current moisture: 12.0, Raw moisture: 45.74333333333333
Time: 2026-03-22 09:30:01.298264, Current moisture: 12.0, Raw moisture: 46.016666666666666
Time: 2026-03-22 09:45:01.570020, Current moisture: 12.0, Raw moisture: 50.25666666666667
Time: 2026-03-22 10:00:01.831902, Current moisture: 12.0, Raw moisture: 52.913333333333334
Time: 2026-03-22 10:15:01.191585, Current moisture: 12.0, Raw moisture: 51.25666666666667
Time: 2026-03-22 10:30:01.489309, Current moisture: 12.0, Raw moisture: 54.916666666666664
Time: 2026-03-22 10:45:01.743636, Current moisture: 12.0, Raw moisture: 56.62
Time: 2026-03-22 11:00:02.025442, Current moisture: 12.0, Raw moisture: 30.163333333333334
Time: 2026-03-22 11:15:01.378245, Current moisture: 12.0, Raw moisture: 56.2
Time: 2026-03-22 11:30:01.681451, Current moisture: 12.0, Raw moisture: 50.63666666666666
Time: 2026-03-22 11:45:01.959365, Current moisture: 12.0, Raw moisture: 53.44
Time: 2026-03-22 12:00:01.240799, Current moisture: 12.0, Raw moisture: 36.46333333333333
Time: 2026-03-22 12:15:01.595773, Current moisture: 12.0, Raw moisture: 57.57666666666667
Time: 2026-03-22 12:30:01.888156, Current moisture: 12.0, Raw moisture: 49.48
Time: 2026-03-22 12:45:02.158868, Current moisture: 12.0, Raw moisture: 41.026666666666664
Time: 2026-03-22 13:00:01.441365, Current moisture: 12.0, Raw moisture: 40.13333333333333
Time: 2026-03-22 13:15:01.795918, Current moisture: 12.0, Raw moisture: 56.53666666666667
Time: 2026-03-22 13:30:02.103402, Current moisture: 12.0, Raw moisture: 46.736666666666665
Time: 2026-03-22 13:45:01.381848, Current moisture: 12.0, Raw moisture: 52.32666666666667
Time: 2026-03-22 14:00:01.657128, Current moisture: 12.0, Raw moisture: 39.2
Time: 2026-03-22 14:15:02.017505, Current moisture: 12.0, Raw moisture: 59.03666666666667
